# ,,,,,,,,,,
# 06/25/2024 20:04:39,,,,,,,,,,
# The parameters defined in the project are:,,,,,,,,,,
# ,P17 - CannardAngle1 [degree],P18 - CannardAngle2 [degree],P19 - AttackAngle [degree],P20 - SideSlipAngle [degree],P21 - f-x-op [N],P22 - f-y-op [N],P23 - f-z-op [N],P24 - t-x-op [J],P25 - t-y-op [J],P26 - t-z-op [J]
# ,,,,,,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,,,,,,
Name,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
DP 44,0,0,0,2,"-0,22647884","-6,9084093","-12,31655","-4,7536772","0,19173713","-0,0015359612"
DP 45,0,0,1,2,"-6,2904299","-8,1489817","-12,513856","-5,7785487","1,9002522","-0,036118039"
DP 46,0,0,2,2,"-12,542786","-7,9855559","-12,845481","-5,6154775","3,7434791","-0,08883268"
DP 47,0,0,3,2,"-18,428415","-7,3317472","-13,57934","-5,0455742","5,1137247","-0,098574558"
DP 48,0,0,5,2,"-33,035644","-6,5843889","-15,084988","-4,4246477","10,230202","-0,042053913"
DP 49,0,0,8,2,"-53,110188","-5,6926216","-18,945183","-3,7904751","17,242904","0,0077298249"
DP 50,0,0,10,2,,,,,,
DP 51,0,0,15,2,"-86,113723","-7,7423007","-35,958836","-5,0759629","29,314726","-0,51754405"
DP 52,0,0,20,2,,,,,,
DP 53,0,0,25,2,"-114,37946","-3,124355","-70,023365","-3,8461436","42,588551","-0,34559503"
DP 55,0,0,1,3,"-6,3659455","-11,762705","-12,846816","-8,262004","2,0117588","-0,034909823"
DP 57,0,0,3,3,"-19,453396","-10,302813","-14,039533","-6,9815801","6,0689648","-0,054463111"
DP 59,0,0,8,3,"-53,460814","-8,8652335","-19,549469","-5,9357936","17,752089","0,056253612"
DP 63,0,0,25,3,"-113,67096","-6,77004","-70,279604","-5,9115155","42,287169","-0,57550721"
DP 64,0,0,0,4,"0,026207669","-16,064865","-13,33367","-11,356463","-0,036049238","-0,0017370188"
DP 65,0,0,1,4,"-6,2929587","-15,711767","-13,397675","-11,012563","1,9790212","-0,055979092"
DP 66,0,0,2,4,"-12,581255","-14,257684","-13,988668","-9,7691902","3,9167783","-0,069736695"
DP 67,0,0,3,4,,,,,,
